timestamp,cpu_usage,memory_usage,disk_usage,gpu_usage,network_sent,network_recv
1743488681.756125,7.8,70.1,86.7,0.0,33405611,654019004
1743489374.3336866,10.8,71.0,86.7,0.0,37825308,823106094
1743489674.4445174,14.6,69.7,86.7,0.0,41860651,951073374
1743489974.556798,6.2,69.8,86.7,0.0,43640715,991138240
1743490274.6983008,7.1,68.3,86.7,0.0,44795227,1060425016
1743490574.8252783,5.4,67.5,86.7,0.0,45612487,1095308425
1743490874.953027,6.3,67.6,86.7,0.0,47009159,1171093857
1743491175.0766723,6.0,67.3,86.7,0.0,47878406,1216174121
1743491475.167773,6.5,67.2,86.7,0.0,48713145,1253792908
1743491775.2840815,6.4,67.3,86.7,0.0,49646402,1318920701
1743492075.3965528,7.9,67.8,86.7,0.0,51092331,1408007168
1743492375.508703,6.6,67.5,86.7,0.0,51893923,1454842609
1743492675.6151423,7.5,67.9,86.7,0.0,52748150,1509129783
1743492975.7154136,6.3,67.9,86.7,0.0,53601685,1558862614
1743493275.821266,7.0,68.0,86.7,0.0,54431206,1611246857
1743493575.934224,7.4,68.5,86.7,0.0,55775487,1702151412
1743493876.0702643,8.5,69.1,86.7,0.0,56821494,1771291122
1743494176.185243,5.7,68.2,86.7,0.0,57735766,1833391968
1743494476.2899637,6.7,68.3,86.7,0.0,58593170,1899524844
1743494776.412214,7.6,68.5,86.7,0.0,60227743,1998392291
1743495076.5286186,6.0,67.0,86.7,0.0,60953607,2032448608
1743495136.5499442,5.9,67.1,86.7,0.0,61087765,2039401832
1743495196.5680854,7.6,68.1,86.7,0.0,61423393,2047328107
1743495256.5969212,12.2,68.9,86.7,0.0,62199765,2052480972
1743495316.625414,12.7,72.8,86.7,0.0,62846656,2059793547
1743495376.6421075,17.4,72.0,86.8,0.0,63687366,2068017744
